"";"X";"codigo_ibge";"idade_media";"idade_media_diabetes"
"149";149;3513850;78;64,5
"150";150;3513900;73,75;57,125
"151";151;3514007;66,8571428571429;68,1666666666667
"152";152;3514106;62,1428571428571;61,2666666666667
"153";153;3514304;69,6666666666667;78
"154";154;3514403;68,5966386554622;68,2253521126761
"155";155;3514502;68,3;71,6666666666667
"156";156;3514601;72;57,6
"157";157;3514700;74;67,3333333333333
"158";158;3514809;69,0833333333333;71,6363636363636
"159";159;3514908;70,9411764705882;65,4
"160";160;3514924;71,25;64,5
"161";161;3514957;69,6666666666667;74,75
"162";162;3515004;66,515306122449;64,3905325443787
"163";163;3515103;66,1866666666667;66,6984126984127
"164";164;3515129;66;62
"165";165;3515152;66,5185185185185;69,5909090909091
"166";166;3515186;65,425;69
"167";167;3515194;76,4285714285714;69
"168";168;3515202;74,1111111111111;77,2307692307692
"169";169;3515301;75,2;NA
"170";170;3515350;59,2222222222222;63,5
"171";171;3515400;70,5925925925926;71,3
"172";172;3515509;69,241134751773;67,8217821782178
"173";173;3515608;62,8;66,6666666666667
"174";174;3515707;67,3359375;65,2631578947368
"175";175;3515806;76,6;73,5
"176";176;3515905;74,4;64,3333333333333
"177";177;3516002;58,5;62,6666666666667
"178";178;3516101;68;65
"179";179;3516200;68,698275862069;67,1203007518797
"180";180;3516309;65,1103448275862;65,588785046729
"181";181;3516408;66,1506849315068;65,4416666666667
"182";182;3516507;68,6666666666667;73
"183";183;3516606;66,9090909090909;67,8888888888889
"184";184;3516705;70,1594202898551;68,8421052631579
"185";185;3516804;76,2857142857143;74
"186";186;3516853;68;64,5
"187";187;3516903;72,2857142857143;67,5333333333333
"188";188;3517000;61,5;69,8
"189";189;3517109;70,6;56,8
"190";190;3517208;67,75;55,7142857142857
"191";191;3517307;70,3333333333333;61,5
"192";192;3517406;67,3908045977011;66,4556962025316
"193";193;3517505;69;65,4814814814815
"194";194;3517604;74,3;70,025
"195";195;3517703;70,76;63,2916666666667
"196";196;3517802;72,1111111111111;78
"197";197;3517901;72,6666666666667;75,2
"198";198;3518008;73;NA
"199";199;3518107;63,4615384615385;65,1818181818182
"200";200;3518206;66,7272727272727;66,5185185185185
"201";201;3518305;70,6829268292683;67,9655172413793
"202";202;3518404;68,2289156626506;68,4430379746835
"203";203;3518503;66;62,75
"204";204;3518602;69,775;66,7560975609756
"205";205;3518701;68,0310559006211;67,3462783171521
"206";206;3518800;67,8451106352605;66,9488721804511
"207";207;3518859;69,1428571428571;63,1
"208";208;3518909;69,7;69,3333333333333
"209";209;3519006;66,6363636363636;64,5714285714286
"210";210;3519055;71,125;70,4
"211";211;3519071;66,6544943820225;65,8674698795181
"212";212;3519105;70,1;75,8333333333333
"213";213;3519204;68,375;63,75
"214";214;3519253;58,8;54,3333333333333
"215";215;3519303;65,2978723404255;61,3
"216";216;3519402;69,7307692307692;66,2666666666667
"217";217;3519501;71,1176470588235;74,5
"218";218;3519600;66,3917525773196;63,4831460674157
"219";219;3519709;61,12;61,625
"220";220;3519808;66,7058823529412;69,9090909090909
"221";221;3519907;60,625;64,625
"222";222;3520004;65,5;68
"223";223;3520103;67,8214285714286;64,5714285714286
"224";224;3520202;66,4375;67,3571428571429
"225";225;3520301;70,84;69,125
"226";226;3520400;69,3809523809524;69,1666666666667
"227";227;3520426;64,9166666666667;66,4375
"228";228;3520442;70;68,6888888888889
"229";229;3520509;69,0974212034384;66,8709677419355
"230";230;3520608;68,25;71,3333333333333
"231";231;3520707;74;74,6666666666667
"232";232;3520806;70,5;66,4
"233";233;3520905;65,9;63,5454545454545
"234";234;3521002;57,0909090909091;65,2380952380952
"235";235;3521101;72,3333333333333;71
"236";236;3521150;65,8571428571429;71,1818181818182
"237";237;3521200;75,4;71
"238";238;3521309;64;63,45
"239";239;3521408;66,6415094339623;65,5277777777778
"240";240;3521507;64,7692307692308;69,4
"241";241;3521606;58,5833333333333;59,75
"242";242;3521705;69,3157894736842;62,7307692307692
"243";243;3521804;64,4222222222222;65,1052631578947
"244";244;3521903;61,7;63,8666666666667
"245";245;3522000;83,6666666666667;64,5
"246";246;3522109;66,2542372881356;66,3658536585366
"247";247;3522158;68;69,5
"248";248;3522208;65,8269230769231;66,6708860759494
"249";249;3522307;71,7931034482759;66
"250";250;3522406;65,3551912568306;65,4255319148936
"251";251;3522505;68,1441441441441;66,8
"252";252;3522604;66,2575757575758;65,9245283018868
"253";253;3522653;62;63
"254";254;3522703;62,9466666666667;63,9130434782609
"255";255;3522802;66,1052631578947;68,8181818181818
"256";256;3522901;61;64,8666666666667
"257";257;3523008;59,6666666666667;62,1428571428571
"258";258;3523107;66,2219101123596;65,2525597269625
"259";259;3523206;69,2325581395349;64,8955223880597
"260";260;3523305;70,1176470588235;66,5333333333333
"261";261;3523404;68,5882352941177;64,7368421052632
